procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  2      0 15367088 256804 5680452    0    0     0  1368 12645 15784 89 11  0  0  0  0
15  2      0 15373968 256812 5680276    0    0     0   404 12742 16240 89 11  0  0  0  0
13  2      0 15376052 256812 5680360    0    0     0   660 12903 16858 87 13  0  0  0  0
14  5      0 15367472 256820 5680372    0    0     0  1912 11443 12794 90 10  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  4      0 15392172 256820 5680320    0    0     0  1460 11508 12939 90 10  0  0  0  0
11  7      0 15400852 256832 5680364    0    0     0   996 11290 12186 90 10  0  0  0  0
19  1      0 15409348 256848 5679976    0    0     0  1260 11544 13003 90 10  0  0  0  0
22  3      0 15409816 256860 5679996    0    0     0  1704 12506 15712 89 11  0  0  0  0
23  2      0 15405404 256860 5679940    0    0     0   756 12130 14973 90 10  0  0  0  0
 7  2      0 15421444 256860 5679952    0    0     0  2036 10954 10657 90 10  0  0  0  0
15  2      0 15407464 256880 5679972    0    0     0   728 11142 11872 91  9  0  0  0  0
13  1      0 15410108 256896 5679980    0    0     0   884 11845 13109 89 11  0  0  0  0
11  1      0 15404936 256908 5680112    0    0     0   456 13215 18435 88 12  0  0  0  0
14  1      0 15406692 256912 5680132    0    0     0  2060 11239 11238 90 10  0  0  0  0
14  1      0 15416340 256920 5680132    0    0     0  1412 11366 11798 90 10  0  0  0  0
11  2      0 15420784 256924 5680204    0    0     0   600 13589 19293 86 13  0  0  0  0
14  2      0 15419632 256936 5680204    0    0     0  2024 12901 17015 90 10  0  0  0  0
19  3      0 15414268 256952 5680240    0    0     0  1104 12580 16851 90 10  0  0  0  0
16  2      0 15406592 256960 5680268    0    0     0  1136 12259 15181 89 11  0  0  0  0
17  1      0 15395420 256980 5680384    0    0     0   592 12494 15487 89 11  0  0  0  0
26 13      0 15390784 256988 5680424    0    0     0  2232 14055 20780 88 12  0  0  0  0
10  1      0 15384780 256988 5680440    0    0     0    84 11652 13621 91  9  0  0  0  0
22  2      0 15404164 256988 5678408    0    0     0  1336 11773 13544 90 10  0  0  0  0
16  0      0 15409696 257016 5680504    0    0     0   496 12290 14425 90  9  0  0  0  0
17  1      0 15395584 257024 5680620    0    0     0   672 12522 15729 89 11  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  1      0 15348016 257028 5680936    0    0     0  1760 12401 16784 89 11  0  0  0  0
14  1      0 15324148 257032 5681056    0    0     0  1496 11750 14317 90 10  0  0  0  0
22  1      0 15329768 257056 5681176    0    0     0   480 13892 19455 88 12  0  0  0  0
18  3      0 15332548 257064 5681152    0    0     0  2572 13062 17250 88 12  0  0  0  0
24  7      0 15345648 257064 5681176    0    0     0   768 12984 18157 90 10  0  0  0  0
13  2      0 15359096 257072 5681188    0    0     0   504 11836 14198 91  9  0  0  0  0
 3 35      0 15364592 257080 5681072    0    0     0  1396 12294 15513 85 11  0  4  0  0
23  2      0 15361020 257092 5681064    0    0     0   700 12830 15141 77  8  2 13  0  0
29 26      0 15352264 257096 5681112    0    0     0  1652 12345 14761 88 12  0  0  0  0
